Pop_Code,x,y,Region,Number of Individuals,Altitude
SW7,15.05134,58.41756,Sweden_Main,3,97
ES5,-0.43295,42.79872,Pyrenees,3,2077
ES7,-4.71135,43.26367,Cantabria,5,1161
BG2,23.45097,42.1739,Bulgaria,3,2146
SK3,20.374444,49.220556,Tatra,2,690
RO1,25.66703,45.71715,Carpathian,5,526
GB2,-2.376468,54.472176,Britain,3,203
CH3,10.41713,46.88712,Alps,3,2046
MN1,106.95024,48.07123,Mongolia_Khentii,2,1541
MN7,102.26641,46.75287,Mongolia_Khangai,2,1805
MN15,88.01687,49.11268,Mongolia_Altay,2,2975
LV3,22.59973,57.0317,Latvia,3,45